name,tags,description,image-path
Landscapes,landscapes,"Some of the most beautiful and awe-inspiring places on the planet. From lush forests to rugged mountain ranges, from crystal-clear lakes to rolling fields of grass, the beauty of the natural world is truly unmatched.",photos/countries/france/chamonix/green-mountain-range-in-clouds
Adventure,adventure,"Seeking out the unbeaten path, exploring unknown territory, and discovering new cultures.",photos/countries/china/tiger-leaping-gorge/man-climbing-down-waterfall
Mountains,mountains,"Mountains offer endless opportunities to capture their grandeur, beauty and scale through different lighting, weather conditions and seasons, providing a constant source of inspiration and challenge for me to creatively frame and convey the emotions they evoke.",photos/countries/nepal/manaslu-circuit/manaslu-mountain-at-sunset
Astrophotography,astrophotography,Bringing the infinitely mesmerizing and awe-inspiring beauty of our mysterious universe down to Earth.,photos/countries/nepal/manaslu-circuit/starry-night-over-sereng-monastery
Urban,city,"A testament to the ingenuity and creativity of humanity, cities pulsate with life and activity, even as the rest of the world sleeps.",photos/countries/south-korea/seoul/cityscape-at-night
Minimalism,minimalism,Photography is not about trying to capture something. Instead it is about what we try to not capture that makes a photograph great.,photos/countries/vietnam/da-nang/single-purple-shell-on-beach
Nepal,nepal,"A breathtakingly beautiful country with stunning mountain vistas, lush forests, rolling hills, majestic waterfalls, fascinating culture, ancient temples and monasteries, picturesque villages, and varied, colorful landscapes.",photos/countries/nepal/mardi-himal/frozen-prayer-flags-in-front-of-fishtail-mountain
Vietnam,vietnam,"Stunning natural beauty, breathtaking rice terraces, lush green mountains, crystal-clear beaches, and bustling cities.",photos/countries/vietnam/hanoi/banana-farm-from-above
United States,united-states,"Seemingly infinite land, diverse natural beauty, and a wide range of landscapes including mountains, forests, beaches, deserts, and more.",photos/countries/united-states/wyoming/cascading-rocky-mountains-at-dawn
Tanzania,tanzania,"Witness the raw beauty and majesty of nature as you explore the vast and diverse landscapes, from the rolling grasslands of the savanna to the dense forests and winding rivers, and encounter a myriad of exotic and endangered animals in their natural habitats.",photos/countries/tanzania/serengeti/acacia-silhouettes-at-sunset