path,description,tags,store-link,youtube-link
photos/countries/france/chamonix/green-mountain-range-in-clouds,,france landscapes showcase mountains,,
photos/countries/france/chamonix/pointy-golden-mountain-in-clouds,,france landscapes mountains,,
photos/countries/italy/cinque-terre/colorful-vernazza-aerial,,italy city,,
photos/countries/italy/cinque-terre/monterosso-blue-white-beach-umbrellas,,italy city,,
photos/countries/italy/cinque-terre/riomaggiore-at-night,,italy city,,
photos/countries/italy/dolomites/locatelli-hut-tre-cime-sheep,,italy adventure,,
photos/countries/italy/dolomites/man-standing-next-to-bivvaco-aerial,,italy adventure,,
photos/countries/italy/dolomites/tre-cime-mountains-in-clouds,,italy landscapes mountains,,
photos/countries/italy/dolomites/women-yellow-jacket-by-mountain-reflection-lake,,italy adventure mountains,,
photos/countries/italy/florence/crescent-moon-at-sunset,,italy minimalism,,
photos/countries/italy/florence/hot-air-balloon-in-clouds,,italy minimalism,,
photos/countries/italy/florence/old-brick-roof-in-tuscany,,italy,,
photos/countries/nepal/kathmandu/cute-puppy-sitting-on-a-chair,,nepal animals,,
photos/countries/nepal/kathmandu/lightbulb-in-tangled-wires,,nepal city,,
photos/countries/nepal/kathmandu/two-security-cameras-in-tangles-wires,,nepal city,,
photos/countries/nepal/manaslu-circuit/backpack-laying-in-snow,,nepal adventure mountains,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/donkey-carrying-heavy-load,,nepal adventure,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/hiker-crossing-long-bridge-in-valley,,nepal adventure,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/hiker-standing-in-canyon-at-dusk,,nepal adventure,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/manaslu-base-camp-prayer-flags,,nepal landscapes adventure mountains,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/manaslu-mountain-at-sunset,Some of the most breathtaking views of mountians in the world can be seen from valleys in Nepal. This photo was taken during the sunset on the Manaslu trek.,nepal landscapes showcase mountains,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/moonrise-over-himalayas,,nepal landscapes mountains,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/mountain-ridge-at-sunrise,,nepal landscapes mountains,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/prayer-flags-in-the-wind,"Prayer flags are a symbol of the grace and tenacity of the human spirit and are frequently found strung over mountain ridges and peaks, or fluttering in the wind in front of homes and temples.",nepal adventure showcase,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/starry-night-over-sereng-monastery,,nepal astrophotography showcase,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/stupa-on-the-trail,,nepal,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/tall-mountains-in-clouds,,nepal landscapes mountains,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/two-puppies-cuddling-in-the-dirt,"Himalayan puppies are simply too cute! It's impossible not to adore these lovely little balls of fur with their fluffy coats, round faces, and large, soulful eyes.This photo was taken at the village of Samagaon in Nepal.",nepal animals,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/view-of-frozen-birendra-lake,,nepal landscapes mountains,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/woman-carrying-basket-of-wood,,nepal adventure,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/manaslu-circuit/yak-wearing-bell,,nepal animals,,https://www.youtube.com/watch?v=I2I4EySGYEU
photos/countries/nepal/mardi-himal/annapurna-mountain-range-at-sunrise,,nepal landscapes mountains,,
photos/countries/nepal/mardi-himal/fishtail-mountain-behind-snow-covered-shelter,,nepal landscapes adventure mountains,,
photos/countries/nepal/mardi-himal/fishtail-mountain-looming-over-hiker,,nepal landscapes adventure mountains,,
photos/countries/nepal/mardi-himal/frozen-prayer-flags-in-front-of-fishtail-mountain,"Tibetan prayer flags are a beautiful sight, fluttering in the breeze and filling the air with the energy of positive intentions and blessings. This photo was captured on a short hike at the base of the Annapurna mountain range.",nepal landscapes adventure mountains showcase,,
photos/countries/nepal/mardi-himal/german-shepard-watching-in-snow,,nepal animals,,
photos/countries/nepal/mardi-himal/german-shepherd-silhouette-in-clouds,,nepal animals minimalism,,
photos/countries/nepal/mardi-himal/snow-covered-shelter-on-mountain,,nepal landscapes adventure mountains,,
photos/countries/nepal/mardi-himal/starry-night-over-fishtail-mountain,,nepal astrophotography adventure mountains,,
photos/countries/nepal/mardi-himal/viewpoint-shelter-mountains,,nepal landscapes adventure showcase mountains,,
photos/countries/nepal/pokhara/fishtail-mountain-sunset,,nepal landscapes mountains,,
photos/countries/nepal/pokhara/world-peace-pagoda-sunset,,nepal,,
photos/countries/nepal/volunteering/sunset-behind-barbed-wire,,nepal landscapes,,
photos/countries/south-korea/seoul/bukchon-hanok-home-at-sunrise,"Explore the modern and ancient, a juxtaposition of new and old, in Seoul's Bukchon Hanok Village.",south-korea city,,
photos/countries/south-korea/seoul/city-lanterns-at-night,,south-korea city,,
photos/countries/south-korea/seoul/cityscape-at-night,,south-korea city,,
photos/countries/tanzania/lake-eyasi/sunset-with-a-single-palm-tree-silhouette,,tanzania landscapes,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/ngorongoro-crater/jeep-driving-away,,tanzania adventure,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/ngorongoro-crater/jeep-in-the-distance,,tanzania adventure,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/ngorongoro-crater/round-tree-under-the-clouds,,tanzania landscapes,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/tarangire/jeeps-parked-off-the-road,,tanzania adventure,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/serengeti/wildebeest-migration,,tanzania animals,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/serengeti/lion-resting-in-a-bush,,tanzania animals,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/serengeti/lion-stalking-wildebeest-laying-in-a-tree,,tanzania animals,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/tarangire/vervet-monkey-sitting-in-grass,,tanzania animals,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/serengeti/jeep-offroad,,tanzania adventure,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/tarangire/masai-giraffe-looking-at-camera,,tanzania animals,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/serengeti/single-acacia-tree-daylight,,tanzania landscapes,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/serengeti/three-acacia-trees,,tanzania,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/serengeti/sunset-with-a-single-tree,,tanzania landscapes minimalism,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/serengeti/leopard-staring-at-me,,tanzania animals,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/serengeti/acacia-tree-at-sunset,,tanzania,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/tarangire/baobab-tree-in-a-field,,tanzania,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/tanzania/serengeti/acacia-silhouettes-at-sunset,"The silhouettes of acacia trees are bathed in the golden glory of the setting sun, resulting in a sight of breathtaking beauty. This photo was taken while on safari in the Serengeti.",tanzania landscapes showcase,,https://www.youtube.com/watch?v=ODLfcfoppas
photos/countries/united-states/alaska/blue-pickup-truck-covered-in-snow,,united-states snow,,
photos/countries/united-states/alaska/two-snow-shoes-stuck-in-a-snowy-hill,,united-states snow,,
photos/countries/united-states/alaska/yellow-fire-hydrant-covered-in-snow,,united-states snow,,
photos/countries/united-states/arizona/grand-canyon-national-park-rim-view,,united-states landscapes,,
photos/countries/united-states/colorado/starry-night-campsite-glowing-tent,,united-states astrophotography showcase,,
photos/countries/united-states/colorado/sunset-on-the-colorado-trail,,united-states landscapes showcase,,
photos/countries/united-states/missouri/bird-sitting-on-fountain-staring-at-me,,united-states animals,,
photos/countries/united-states/missouri/long-haired-west-highland-white-terrier,,united-states animals,,
photos/countries/united-states/missouri/long-straight-highway,,united-states landscapes,,
photos/countries/united-states/missouri/man-holding-a-glowing-orb-sitting-on-a-dock,,united-states astrophotography,,
photos/countries/united-states/missouri/one-sunflower-and-one-bee,,united-states landscapes nature,,
photos/countries/united-states/missouri/pinecone-laying-in-the-grass,,united-states minimalism,,
photos/countries/united-states/missouri/rabbit-hiding-in-the-grass,,united-states animals,,
photos/countries/united-states/missouri/single-white-clover-up-close,,united-states minimalism,,
photos/countries/united-states/missouri/small-conocybe-mushroom-surrounded-by-grass,"A beautiful and often overlooked part of the natural world, with their delicate caps and slender stems, they are a sight to behold. This photo was taking in the US in my backyard.",united-states minimalism,,
photos/countries/united-states/missouri/starry-night-loggers-lake,,united-states astrophotography,,
photos/countries/united-states/missouri/sun-passing-through-black-maple-leaf,,united-states nature,,
photos/countries/united-states/missouri/total-solar-eclipse,,united-states astrophotography,,
photos/countries/united-states/utah/glowing-tent-starry-night,,united-states astrophotography,,
photos/countries/united-states/utah/monument-valley-highway-aerial,,united-states landscapes,,
photos/countries/united-states/utah/moon-red-rock-arch,,united-states landscapes,,
photos/countries/united-states/utah/small-juniper-pine-stuck-between-two-boulders,,united-states landscapes,,
photos/countries/united-states/utah/small-tree-in-the-desert,,united-states minimalism,,
photos/countries/united-states/washington/inside-tent-snow-camp-in-forest,,united-states adventure,,
photos/countries/united-states/washington/lake-serene-glacier-cave,,united-states snow,,
photos/countries/united-states/washington/snow-camp-in-a-forest,,united-states adventure snow,,
photos/countries/united-states/washington/snow-covered-trees-looking-up,,united-states snow,,
photos/countries/united-states/washington/squirrel-poking-head-out-of-hole,,united-states animals,,
photos/countries/united-states/washington/taking-a-break-from-snowshoeing,,united-states snow adventure,,
photos/countries/united-states/washington/winter-river-with-snow-covered-rocks,,united-states snow landscapes,,
photos/countries/united-states/wyoming/cascading-rocky-mountains-at-dawn,,united-states landscapes showcase,,
photos/countries/united-states/wyoming/layered-treelines,,united-states landscapes showcase,,
photos/countries/united-states/wyoming/moose-silhouette-drinking-from-a-lake,,united-states animals,,
photos/countries/united-states/wyoming/rocky-trail-golden-hour,,united-states landscapes,,
photos/countries/united-states/wyoming/rocky-trail-golden-hour-close-up,,united-states landscapes,,
photos/countries/vietnam/da-nang/beach-at-sunset-city-background,,vietnam landscapes city,,
photos/countries/vietnam/da-nang/cascading-jungle-hills,,vietnam landscapes,,
photos/countries/vietnam/da-nang/cityscape-at-night,,vietnam city,,
photos/countries/vietnam/da-nang/cityscape-at-sunset,,vietnam city,,
photos/countries/vietnam/da-nang/curving-road-in-jungle,,vietnam landscapes aerial,,
photos/countries/vietnam/da-nang/ocean-wave-breaking-on-sand,,vietnam,,
photos/countries/vietnam/da-nang/rice-field-behind-barbed-wire,,vietnam,,
photos/countries/vietnam/da-nang/single-purple-shell-on-beach,,vietnam minimalism showcase,,
photos/countries/vietnam/da-nang/steep-grade-road-sign-on-curving-road,,vietnam city,,
photos/countries/vietnam/da-nang/suspension-bridge-over-river,,vietnam city,,
photos/countries/vietnam/da-nang/two-coconuts-on-beach,,vietnam,,
photos/countries/vietnam/da-nang/two-tiny-mushrooms-next-to-metal-cup,,vietnam,,
photos/countries/vietnam/da-nang/woman-collecting-plants,,vietnam,,
photos/countries/vietnam/hanoi/banana-farm-from-above,"If you didn't know, bananas are everywhere in Vietnam. Some people even call Vietnam the Banana Republic. This photo was taken just outside of Hanoi.",vietnam landscapes showcase,,
photos/countries/vietnam/hanoi/buffalo-standing-in-rice-field-looking-at-me,,vietnam animals showcase,,
photos/countries/vietnam/hanoi/man-throwing-fishing-net-into-lake,,vietnam city,,
photos/countries/vietnam/hanoi/railroad-street-with-vietnamese-flags,,vietnam city,,
photos/countries/vietnam/hoi-an/herb-gardens-from-above,"A rainbow of different colored herbs in Hoi An, Vietnam.",vietnam aerial,,
photos/countries/vietnam/hoi-an/rainbow-herb-gardens,,vietnam,,
photos/countries/vietnam/sapa/cat-staring-close-up,,vietnam animals,,